
0.000000	446	257
0.220000	447	258
0.430000	455	250
0.620000	473	248
0.830000	490	248
1.090000	506	247
1.340000	519	245
1.530000	533	248
0.000000	540	250
0.240000	539	247
0.460000	548	260
0.680000	557	279
0.940000	559	297
1.180000	558	316
1.380000	557	328
1.600000	556	340
1.790000	555	352
0.000000	556	355
0.230000	557	356
0.460000	546	361
0.650000	541	370
0.850000	523	376
1.040000	514	379
1.280000	503	380
1.510000	492	381
1.730000	482	388
1.940000	475	386
0.000000	468	385
0.220000	467	385
0.450000	466	378
0.630000	472	372
0.860000	464	357
1.080000	460	337
1.280000	458	319
1.480000	458	312
1.710000	456	301
