
0.000000	463	299
0.180000	463	299
0.390000	471	294
0.580000	481	294
0.790000	499	298
1.020000	517	298
1.230000	536	295
1.440000	544	289
1.650000	549	290
0.000000	558	290
0.220000	555	294
0.440000	563	307
0.670000	574	323
0.890000	582	340
1.120000	583	351
1.370000	581	366
1.560000	583	375
1.770000	583	381
0.000000	580	393
0.230000	582	386
0.420000	572	401
0.630000	561	411
0.850000	550	419
1.160000	536	413
1.390000	515	404
1.630000	512	418
1.860000	503	418
0.000000	485	405
0.190000	496	413
0.430000	491	409
0.630000	486	392
0.820000	475	373
1.010000	472	353
1.220000	472	344
1.410000	472	334
1.630000	468	325
